행 레이블,합계 : 승차총승객수,합계 : 하차총승객수
신사,8960105,9618247
4.19민주묘지,837735,795711
가능,1976309,1887701
가락시장,5049883,5306849
가산디지털단지,17377043,18252425
가양,5979266,5793346
가오리,1175522,1148666
가좌,1549497,1433596
가천대,2093112,2367077
가평,573556,578571
간석,1750158,1660665
갈매,848170,734837
강남,25835159,26062685
강남구청,7164023,8117855
강동,5987140,5352757
강동구청,3019515,3124148
강매,864812,741587
강변(동서울터미널),10262459,10183619
강촌,162185,154485
개롱,1876395,1944032
개봉,6522609,6581523
개포동,1012224,1049046
개화,747305,551335
개화산,1588554,1521135
거여,2283411,2155460
건대입구,14724992,15907592
검암,2180310,2127190
경기광주,2023849,1923763
경마공원,626319,626966
경복궁(정부서울청사),5536737,5533019
경찰병원,2188943,2184554
계양,2768511,2531820
고덕,2528866,2516870
고려대(종암),2317217,2226307
고색,249606,243787
고속터미널,21904839,22149767
고잔,2407884,2337702
곡산,166098,172600
곤지암,610900,612906
공덕,10811813,11045027
공릉(서울과학기술대),3537313,3530458
공항시장,857489,937962
공항화물청사,701001,767893
과천,1470443,1327574
관악,2255010,2074704
광나루(장신대),3905612,3555984
광명,910320,753498
광명사거리,7112825,7001262
광운대,2474841,2358085
광화문(세종문화회관),8812591,9228789
광흥창(서강),2561973,2472232
교대(법원.검찰청),13785592,13655019
구로,5459644,5567848
구로디지털단지,17918936,17925315
구룡,461727,452317
구리,4045006,4113286
구반포,805902,843355
구산,2189061,1658894
구성,1389869,1424185
구의(광진구청),7071479,6886664
구일,1939745,1983341
구파발,6243743,5906166
국수,225271,222956
국회의사당,4340975,4354313
군자(능동),7630111,7006679
군포,2174894,2135884
굴봉산,51860,52726
굴포천,2587645,2706251
굽은다리(강동구민회관앞),2733009,2575116
금곡,448998,425292
금릉,1311865,1288930
금정,7654394,7831758
금천구청,3449347,3393487
금촌,1940914,1921957
금호,2468779,2291188
기흥,2751581,2617408
길동,2252671,2355780
길음,6037568,5777071
김유정,102684,111991
김포공항,7476698,7047781
까치산,8845123,8415880
까치울,2222795,2133753
낙성대,1743341,1678471
낙성대(강감찬),6654553,6359786
남구로,4656746,4917141
남동인더스파크,617574,672904
남부터미널(예술의전당),8716005,8946017
남성,3372699,3116470
남영,2833180,2964104
남춘천,740672,766423
남태령,347097,292690
남한산성입구(성남법원.검찰청),4025913,3638646
내방,4096688,4174268
노들,1319404,1131212
노량진,10815731,10779160
노원,11872483,13026331
녹번,4206318,3749987
녹사평(용산구청),1468002,1482251
녹양,1394060,1325123
녹천,1412236,1180062
논현,5780786,6349181
능곡,1096755,1006231
단대오거리,3047509,2891049
달월,24319,18276
답십리,4718160,4309247
당고개,3851899,3542801
당산,11025284,11764059
당정,1819240,1733962
대곡,535078,412954
대공원,876638,933395
대림(구로구청),10260124,10398358
대모산입구,1005335,930651
대방,3856167,3919126
대성리,198031,181432
대야미,1521621,1350776
대청,2815298,2576787
대치,3214993,3124050
대화,3972288,3163997
대흥(서강대앞),2310809,2384581
덕계,761487,678756
덕소,1756236,1738583
덕정,1730752,1684955
도곡,3363910,3379615
도농,2901953,2637896
도림천,369820,385576
도봉,1824921,1734217
도봉산,5421028,5030011
도심,755168,600834
도원,928108,946119
도화,1136226,1025642
독립문,2151631,2237731
독바위,846098,911266
독산,4713922,4921942
돌곶이,2636174,2460938
동대문,9735705,9917208
동대문역사문화공원,2263745,2308042
동대문역사문화공원(DDP),7003162,7210903
동대입구,2299998,2478610
동두천,599443,724912
동두천중앙,972839,945347
동묘앞,5405112,5536831
동암,4830001,4838255
동인천,4346086,4150092
동작(현충원),1312514,1235246
두정,1451716,1477618
둔촌동,2449368,2462409
둔촌오륜,285775,262336
등촌,3055434,3026067
디지털미디어시티,8202284,8145035
뚝섬,5801378,6225712
뚝섬유원지,2604271,2556186
마곡,2380314,2279558
마곡나루,997629,963866
마곡나루(서울식물원),3983363,3896276
마두,2183924,2254027
마들,3558019,3360323
마석,1125076,1102893
마장,1676682,1586369
마천,1643602,1653869
마포,3991851,4120951
마포구청,4144754,3666819
망우,2314038,2261736
망원,4271888,4679740
망월사,2240245,2284836
망포,3850327,3636208
매교,710832,718866
매봉,3321119,3177724
매탄권선,1298340,1227727
먹골,3099443,2998687
면목,4697409,4552751
명동,5898387,6255609
명일,2430878,2495721
명학,2609071,2558442
모란,7616578,7400774
목동,5059912,5486779
몽촌토성(평화의문),1614753,1691232
무악재,1148702,1164820
문래,5992439,6147640
문산,1598774,1584542
문정,5822075,6074805
미금,4557616,4845592
미사,1364840,1351789
미아(서울사이버대학),4669159,4445322
미아사거리,8667483,8412425
반월,1339630,1268521
반포,1789777,1735135
발산,5460162,5638093
방배,4941236,5101278
방이,2064004,2111972
방학,2898144,2832130
방화,2034678,1929096
배방,288961,280784
백마,1939468,1829668
백석,3039899,3048130
백양리,47101,44090
백운,2196448,2163067
버티고개,665335,645096
범계,7674878,7515671
별내,783560,759991
병점,4060446,4047703
보라매,2865221,2838702
보문,2629762,2453034
보산,501054,464271
보정,697667,595021
복정,3058403,2634184
봉명,335925,323970
봉은사,4535057,4575710
봉천,7375317,6786648
봉화산(서울의료원),2693763,2457787
부개,2554635,2401732
부발,539910,518738
부천,10350925,10461106
부천시청,3609625,3566764
부천종합운동장,1333939,1151917
부평,9482168,10218485
부평구청,3393296,2770620
북한산보국문,1714188,1615761
북한산우이,890575,845406
불광,6432339,6869449
사가정,4867777,4831731
사당,18939303,19040093
사릉,1009439,959799
사리,303086,282382
사평,858845,837952
산본,4900768,5224537
산성,1807842,1781504
삼각지,3010966,2935105
삼동,655403,592124
삼산체육관,1390109,1248226
삼성(무역센터),14800580,15093383
삼성중앙,1809101,1873318
삼송,5296603,5106089
삼양,599944,641315
삼양사거리,720281,730683
삼전,1860080,1811258
상갈,1560592,1485417
상계,5869187,5368557
상도,3118791,2981319
상동,3801120,3914497
상록수,5345742,5244731
상봉(시외버스터미널),7021630,6684083
상수,2495696,2875140
상왕십리,4098333,3931809
상월곡(한국과학기술연구원),1837821,1619329
상일동,4914405,4272559
상천,105330,95560
새절(신사),3863485,3620754
샛강,1508044,1582500
서강대,615745,594261
서대문,4909438,5007294
서동탄,466310,400995
서빙고,551531,505468
서울대입구(관악구청),14680850,14268738
서울숲,2676533,2716345
서울역,21269546,21088975
서정리,1780944,1757930
서초,6190008,6093431
서현,7306464,7434683
석계,6374511,6756429
석수,3059765,2715216
석촌,4463209,4517459
석촌고분,1604964,1580543
선릉,19318922,19635254
선바위,2524281,2201282
선유도,2114301,2046893
선정릉,4781272,5134794
성균관대,4125363,4085577
성수,9219619,10153503
성신여대입구(돈암),7037298,6902174
성환,1042230,1039621
세류,949937,896329
세마,751917,682091
세종대왕릉,87615,87088
소래포구,1557442,1496822
소사,2956516,2807290
소요산,1077924,906639
솔밭공원,700924,678313
솔샘,1627683,1504345
송내,8384280,8302748
송도,743159,690205
송정,2085183,1950026
송탄,1296228,1234309
송파,2537852,2447896
송파나루,1263346,1339314
수내,3711136,3691319
수락산,3913390,3886246
수리산,1261059,1032626
수색,671007,685735
수서,8951424,9079319
수원,13433451,13457649
수원시청,3397444,3772178
수유(강북구청),10598936,10473572
수진,1555462,1417874
숙대입구(갈월),3875953,3802012
숭실대입구(살피재),3569040,3573518
숭의,1077301,1003409
시청,12571890,12472972
신갈,1282833,1257723
신금호,1822667,1856569
신길,3885873,3525206
신길온천,489752,448250
신내,419724,427297
신논현,9248764,9407921
신답,462565,518307
신당,6542777,6767587
신대방,8151573,7811509
신대방삼거리,4916026,4687842
신도림,16419929,16200249
신둔도예촌,348181,328735
신림,19769694,19067371
신목동,1110452,996030
신반포,821411,821278
신방화,1976640,1918811
신설동,5966755,5861069
신용산,4437523,4653158
신원,76746,63490
신이문,2634007,2403928
신정(은행정),4096837,3210991
신정네거리,2858013,2946200
신중동,4178908,4154545
신창(순천향대),398797,384520
신촌,10645890,11080194
신포,494989,511646
신풍,3336800,3172252
신흥,1389045,1481980
쌍문,9162748,8247775
쌍용(나사렛대),555173,516703
아산,804106,729071
아신,179310,176790
아차산(어린이대공원후문),4369126,4285105
아현,2946495,2811725
안국,5618517,5920305
안산,3791576,3436871
안암(고대병원앞),2970269,2982403
안양,6771526,6781318
암사,5552637,4916980
압구정,9244939,9928523
압구정로데오,5012079,5717052
애오개,1999053,2005742
야당,1716955,1650890
야목,19181,17324
야탑,7528840,7899252
약수,4955307,4863516
양수,612546,613280
양원,473485,482981
양재(서초구청),10957092,11852121
양정,260092,227310
양주,2373300,2217205
양천구청,1966796,2057258
양천향교,2616629,2673976
양평,2945512,2928823
어린이대공원(세종대),3508718,3426785
어천,50981,48868
언주,2707488,2722406
여의나루,2646969,2706719
여의도,13364861,13559312
여주,598132,604851
역곡,8249595,8148169
역삼,13712834,15165731
역촌,1132122,1297555
연수,1333594,1341427
연신내,11764548,11075944
염창,4974571,4829634
영등포,12349045,12807024
영등포구청,7679140,7782649
영등포시장,2696263,2787700
영종,855713,868800
영통,2378167,2428710
오금,2935760,2716888
오류동,3590221,3365881
오리,3426018,2908297
오목교(목동운동장앞),6672154,7194979
오목천,207228,188782
오빈,90302,89742
오산,2867055,2845573
오산대,894533,816832
오이도,2717276,2638047
옥수,2751822,2831169
온수(성공회대입구),5055953,4801651
온양온천,1120206,1139326
올림픽공원(한국체대),2841035,2674879
왕십리(성동구청),10531723,10478744
외대앞,2332948,2271022
용답,784028,763090
용두(동대문구청),687362,715683
용마산,371345,354076
용마산(용마폭포공원),1457052,1400666
용문,663441,671464
용산,10122573,10284655
우장산,4159338,4113045
운길산,300037,283449
운서,1958133,1991557
운정,1752829,1643953
원당,3339736,3168574
원덕,115073,111300
원인재,1273341,1304467
원흥,2699990,2540215
월계,1860556,1732733
월곡(동덕여대),3357208,3270605
월곶,710170,667677
월드컵경기장(성산),1508540,1577296
월롱,636152,603880
을지로3가,8898711,9064293
을지로4가,5340520,5373944
을지로입구,11471188,11658865
응봉,543204,466632
응암,5255956,5160188
의왕,2607648,2574836
의정부,5677825,5892698
이대,3717993,3860949
이매,1915057,1779773
이수,4705561,4625743
이천,734164,783236
이촌(국립중앙박물관),3251035,3245897
이태원,3165806,3390098
인덕원,6976008,7107885
인천,1359032,1321839
인천공항1터미널,1779989,1777794
인천공항2터미널,811337,720777
인천논현,1614586,1693476
인하대,1533105,1443778
일산,2646598,2607214
일원,2658763,2620694
임진강,7704,6867
잠실(송파구청),24700319,24845449
잠실나루,4135038,4006475
잠실새내,6182510,6286254
잠원,1642019,1599588
장승배기,3016104,2917017
장암,732195,307204
장지,5156249,4954845
장한평,5272260,5226595
정릉,1297353,1191717
정발산,2201403,2281991
정부과천청사,2732842,2703947
정왕,2289432,2429718
정자,4707204,5001626
제기동,5321833,5459411
제물포,3020826,2849700
종각,10592512,10306580
종로3가,14647551,14737465
종로5가,6686601,6709775
종합운동장,3407292,3549724
주안,5935783,5383295
주엽,2553919,2584791
죽전,3952274,4328289
중계,4262476,3834379
중곡,2956436,2746546
중동,2735408,2579881
중랑,1690504,1618584
중앙,4857125,5107410
중앙보훈병원,2654242,2382341
중화,3355222,3245956
증미,2024447,2027625
증산(명지대앞),3064308,2970535
지제,760247,697363
지축,921478,903901
지평,16995,14501
지행,1945063,1919682
직산,223463,223742
진위,445881,392696
창동,8042132,8525334
창신,1030535,831910
천마산,479111,450816
천안,1629182,1656764
천왕,3023909,2816331
천호(풍납토성),10524764,11396222
철산,6555785,6714924
청구,2308096,2277892
청담,5639026,6285677
청라국제도시,1837254,1723703
청량리(서울시립대입구),11010095,11337389
청명,1179489,1114324
청평,532270,523910
초월,819691,786642
초지,1258258,1267780
총신대입구(이수),5824675,6369941
춘의,2732473,2660000
춘천,451957,405092
충무로,7606161,7888108
충정로(경기대입구),4274036,4434336
탄현,2186090,2105029
태릉입구,4089757,4090239
태평,4117259,3969783
퇴계원,1076554,987375
파주,392237,296620
판교,1250410,1215704
팔당,336346,343611
평내호평,1718963,1688807
평촌,5027100,4975001
평택,3628514,3590806
풍산,1572305,1472055
하계,5284701,4961800
하남풍산,523567,528239
학동,6580194,7070973
학여울,565856,576855
한강진,2181393,2580150
한남,1251953,1192207
한대앞,2359313,2337298
한성대입구(삼선교),4062567,3969936
한성백제,687183,611857
한양대,2131615,2301365
한티,4061179,4251865
합정,13266813,13774933
행당,2414082,2134528
행신,2252027,2211105
혜화,9421440,9630773
호구포,1020235,1028947
홍대입구,20087500,21346919
홍제,5265750,4988450
화계,976276,910880
화곡,8553424,7915642
화랑대(서울여대입구),3354841,2607773
화서,2160106,2088870
화전,489056,451422
화정,5103213,5266120
회기,7165308,6905231
회룡,3710034,3638444
회현(남대문시장),6825670,7231052
효창공원앞,2866592,2747009
흑석(중앙대입구),2294512,2392517
총합계,1968367337,1961954817
